sample_id,source_mat_id,url_handle_resolution,portal_url,sample_attribution,nsmp_consignment,date_provided,project_title,bioplatforms_project_code,bioplatforms_dataset_id,dataset_url_resolution,related_data,bioplatforms_project_doi,bioplatforms_project_ncbi_umbrellabioproject_id,bioplatforms_project,funding_agency,note,distributed to,ncbi_bioproject_accession_number,ncbi_biosample_accession_number
102.100.100/7031,102.100.100/7031,http://hdl.handle.net/102.100.100/7031,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7031,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873575
102.100.100/7032,102.100.100/7032,http://hdl.handle.net/102.100.100/7032,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7032,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873576
102.100.100/7033,102.100.100/7033,http://hdl.handle.net/102.100.100/7033,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7033,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873577
102.100.100/7034,102.100.100/7034,http://hdl.handle.net/102.100.100/7034,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7034,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873578
102.100.100/7035,102.100.100/7035,http://hdl.handle.net/102.100.100/7035,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7035,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873579
102.100.100/7036,102.100.100/7036,http://hdl.handle.net/102.100.100/7036,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7036,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873580
102.100.100/7037,102.100.100/7037,http://hdl.handle.net/102.100.100/7037,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7037,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873581
102.100.100/7038,102.100.100/7038,http://hdl.handle.net/102.100.100/7038,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7038,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873582
102.100.100/7039,102.100.100/7039,http://hdl.handle.net/102.100.100/7039,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7039,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873583
102.100.100/7040,102.100.100/7040,http://hdl.handle.net/102.100.100/7040,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7040,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873584
102.100.100/7041,102.100.100/7041,http://hdl.handle.net/102.100.100/7041,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7041,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873585
102.100.100/7042,102.100.100/7042,http://hdl.handle.net/102.100.100/7042,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7042,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873586
102.100.100/7043,102.100.100/7043,http://hdl.handle.net/102.100.100/7043,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7043,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873587
102.100.100/7044,102.100.100/7044,http://hdl.handle.net/102.100.100/7044,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7044,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873588
102.100.100/7045,102.100.100/7045,http://hdl.handle.net/102.100.100/7045,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7045,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873589
102.100.100/7046,102.100.100/7046,http://hdl.handle.net/102.100.100/7046,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7046,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873590
102.100.100/7047,102.100.100/7047,http://hdl.handle.net/102.100.100/7047,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7047,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873591
102.100.100/7048,102.100.100/7048,http://hdl.handle.net/102.100.100/7048,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7048,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873592
102.100.100/7049,102.100.100/7049,http://hdl.handle.net/102.100.100/7049,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7049,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873593
102.100.100/7050,102.100.100/7050,http://hdl.handle.net/102.100.100/7050,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7050,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873594
102.100.100/7051,102.100.100/7051,http://hdl.handle.net/102.100.100/7051,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7051,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873595
102.100.100/7052,102.100.100/7052,http://hdl.handle.net/102.100.100/7052,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7052,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873596
102.100.100/7053,102.100.100/7053,http://hdl.handle.net/102.100.100/7053,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7053,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873597
102.100.100/7054,102.100.100/7054,http://hdl.handle.net/102.100.100/7054,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7054,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873598
102.100.100/7055,102.100.100/7055,http://hdl.handle.net/102.100.100/7055,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7055,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873599
102.100.100/7056,102.100.100/7056,http://hdl.handle.net/102.100.100/7056,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7056,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873600
102.100.100/7057,102.100.100/7057,http://hdl.handle.net/102.100.100/7057,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7057,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873601
102.100.100/7058,102.100.100/7058,http://hdl.handle.net/102.100.100/7058,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7058,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873602
102.100.100/7059,102.100.100/7059,http://hdl.handle.net/102.100.100/7059,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7059,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873603
102.100.100/7060,102.100.100/7060,http://hdl.handle.net/102.100.100/7060,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7060,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873604
102.100.100/7061,102.100.100/7061,http://hdl.handle.net/102.100.100/7061,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7061,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873605
102.100.100/7062,102.100.100/7062,http://hdl.handle.net/102.100.100/7062,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7062,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873606
102.100.100/7063,102.100.100/7063,http://hdl.handle.net/102.100.100/7063,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7063,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873607
102.100.100/7064,102.100.100/7064,http://hdl.handle.net/102.100.100/7064,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7064,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873608
102.100.100/7065,102.100.100/7065,http://hdl.handle.net/102.100.100/7065,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7065,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873609
102.100.100/7066,102.100.100/7066,http://hdl.handle.net/102.100.100/7066,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7066,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873610
102.100.100/7067,102.100.100/7067,http://hdl.handle.net/102.100.100/7067,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7067,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873611
102.100.100/7068,102.100.100/7068,http://hdl.handle.net/102.100.100/7068,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7068,Frank Reith,,28/10/2011,,,,,,https://doi.org/10.25953/v12e-zq81,PRJNA597010,Biome of Australia Soil Environments (BASE),Biome of Australia Soil Environments; ,,Frank Reith UA,PRJNA317932,SAMN04873612
